,id,average_electricity_price,carbon_emitted,run_number,variable,value,carbon,number
1458,20.0,5.101401696639539,0.0,1,carbon_11,203.2455291748047,carbon,11
1459,21.0,5.122829778736507,0.0,1,carbon_11,55.96736145019531,carbon,11
1460,22.0,5.1427917103592815,0.0,1,carbon_11,64.4182357788086,carbon,11
1461,23.0,5.17645187585493,0.0,1,carbon_11,90.92272186279297,carbon,11
1462,24.0,5.303285033412656,0.0,1,carbon_11,51.15727615356445,carbon,11
1463,25.0,5.338287059910506,0.0,1,carbon_11,201.3057861328125,carbon,11
1464,26.0,5.4753559757820245,0.0,1,carbon_11,187.29501342773438,carbon,11
1465,27.0,5.522708821573733,0.0,1,carbon_11,39.20602798461914,carbon,11
1466,28.0,5.648913933876733,0.0,1,carbon_11,78.09122467041016,carbon,11
1467,29.0,5.6511149749672045,0.0,1,carbon_11,87.93576049804688,carbon,11
1468,30.0,5.652163531084451,0.0,1,carbon_11,243.9197540283203,carbon,11
1469,31.0,5.673330705318446,0.0,1,carbon_11,119.4887924194336,carbon,11
1470,32.0,5.677321641404589,0.0,1,carbon_11,187.5272979736328,carbon,11
1471,33.0,5.70414375526839,0.0,1,carbon_11,174.6904754638672,carbon,11
1472,34.0,5.707797862703268,0.0,1,carbon_11,171.090576171875,carbon,11
1473,35.0,5.713859829644215,0.0,1,carbon_11,194.7051544189453,carbon,11
1474,36.0,5.7395027507756495,0.0,1,carbon_11,81.66736602783203,carbon,11
1475,37.0,5.771468120434777,0.0,1,carbon_11,168.34007263183594,carbon,11
1476,38.0,5.788929072814597,0.0,1,carbon_11,104.46883392333984,carbon,11
1477,39.0,5.797196659644282,0.0,1,carbon_11,135.5019073486328,carbon,11
1478,40.0,5.929715018256361,0.0,1,carbon_11,218.74449157714844,carbon,11
1479,41.0,5.9741578335264975,0.0,1,carbon_11,19.036163330078125,carbon,11
1480,42.0,5.990078965399995,0.0,1,carbon_11,248.579833984375,carbon,11
1481,43.0,6.0369162257488975,0.0,1,carbon_11,147.9181671142578,carbon,11
1482,44.0,6.074587437625137,0.0,1,carbon_11,218.74449157714844,carbon,11
1483,45.0,6.081846266088874,0.0,1,carbon_11,42.223323822021484,carbon,11
1484,46.0,6.082094615783223,0.0,1,carbon_11,36.261268615722656,carbon,11
1485,47.0,6.095158018650777,0.0,1,carbon_11,114.32106018066406,carbon,11
1486,48.0,6.1115691482010055,0.0,1,carbon_11,227.98121643066406,carbon,11
1487,49.0,6.171142547400888,0.0,1,carbon_11,238.22808837890625,carbon,11
1488,50.0,6.2290483768655704,0.0,1,carbon_11,158.686279296875,carbon,11
1489,51.0,6.292060463595649,0.0,1,carbon_11,99.7403564453125,carbon,11
1490,52.0,6.4031243824284045,0.0,1,carbon_11,202.79644775390625,carbon,11
1491,53.0,6.422255212605204,0.0,1,carbon_11,107.00212860107422,carbon,11
1492,54.0,6.422282204704769,0.0,1,carbon_11,93.21466827392578,carbon,11
1493,55.0,6.60062173771632,0.0,1,carbon_11,135.5019073486328,carbon,11
1494,56.0,6.685414625227377,0.0,1,carbon_11,188.99444580078125,carbon,11
1495,57.0,6.706379803424348,0.0,1,carbon_11,87.2524185180664,carbon,11
1496,58.0,6.7768389380858975,0.0,1,carbon_11,175.62228393554688,carbon,11
1497,59.0,6.8149558392147895,0.0,1,carbon_11,107.86994171142578,carbon,11
1498,60.0,6.828565862585827,0.0,1,carbon_11,164.0784149169922,carbon,11
1499,61.0,6.884289740126138,0.0,1,carbon_11,165.84959411621094,carbon,11
1500,62.0,6.901496450333228,0.0,1,carbon_11,95.46585083007812,carbon,11
1501,63.0,6.907353103567715,0.0,1,carbon_11,189.92095947265625,carbon,11
1502,64.0,6.966628311447722,0.0,1,carbon_11,140.5287322998047,carbon,11
1503,65.0,6.998803086108763,0.0,1,carbon_11,29.411569595336914,carbon,11
1504,66.0,7.116644152518305,0.0,1,carbon_11,88.17626953125,carbon,11
1505,67.0,7.156150817007017,0.0,1,carbon_11,202.79644775390625,carbon,11
1506,68.0,7.278437702905157,0.0,1,carbon_11,44.448299407958984,carbon,11
1507,69.0,7.280806388876821,0.0,1,carbon_11,109.4609146118164,carbon,11
1508,70.0,7.313974135487804,0.0,1,carbon_11,36.261268615722656,carbon,11
1509,71.0,7.352585603848633,0.0,1,carbon_11,55.96736145019531,carbon,11
1510,72.0,7.692249560044675,0.0,1,carbon_11,158.686279296875,carbon,11
1511,73.0,7.707012261200898,0.0,1,carbon_11,157.46453857421875,carbon,11
1512,74.0,7.745218415585097,0.0,1,carbon_11,147.9181671142578,carbon,11
1513,75.0,7.901394881879411,0.0,1,carbon_11,150.5444793701172,carbon,11
1514,76.0,7.954694896535321,0.0,1,carbon_11,135.5019073486328,carbon,11
1515,77.0,7.970990285085167,0.0,1,carbon_11,245.5106201171875,carbon,11
1516,78.0,8.037813665300773,0.0,1,carbon_11,198.9325408935547,carbon,11
1517,79.0,8.158651982274204,0.0,1,carbon_11,175.62228393554688,carbon,11
1518,80.0,8.180779331353323,0.0,1,carbon_11,230.82989501953125,carbon,11
1519,81.0,8.184957961833085,0.0,1,carbon_11,39.20602798461914,carbon,11
1520,82.0,8.378665043426219,0.0,1,carbon_11,166.16720581054688,carbon,11
1521,83.0,8.403655132993277,0.0,1,carbon_11,157.46453857421875,carbon,11
1522,84.0,8.426376195335669,0.0,1,carbon_11,107.15199279785156,carbon,11
1523,85.0,8.511503584981282,0.0,1,carbon_11,246.2635955810547,carbon,11
1524,86.0,8.579289429738045,0.0,1,carbon_11,105.3099594116211,carbon,11
1525,87.0,8.655059530846533,0.0,1,carbon_11,65.26927947998047,carbon,11
1526,88.0,10.869112241013582,1.575604796409607,1,carbon_11,4.703574180603027,carbon,11
1527,89.0,10.961346472948891,1.575604796409607,1,carbon_11,14.717350006103516,carbon,11
1528,90.0,11.382362170735702,1.875720024108887,1,carbon_11,29.411569595336914,carbon,11
1529,91.0,11.785358298381887,6.827620983123779,1,carbon_11,70.45146179199219,carbon,11
1530,92.0,19.30034952705309,28.135799407958984,1,carbon_11,93.21466827392578,carbon,11
1531,93.0,18.20274041588468,32.037296295166016,1,carbon_11,230.82989501953125,carbon,11
1532,94.0,22.92220002974841,44.64213562011719,1,carbon_11,222.03060913085938,carbon,11
1533,95.0,22.250439800273977,73.6729965209961,1,carbon_11,57.20406723022461,carbon,11
1534,96.0,22.142220582763716,77.74111938476562,1,carbon_11,201.57583618164062,carbon,11
1535,97.0,22.81172336918087,53.121952056884766,1,carbon_11,140.38572692871094,carbon,11
1536,98.0,21.575875417216142,110.36736297607422,1,carbon_11,175.4132080078125,carbon,11
1537,99.0,24.2444164787951,87.70866394042969,1,carbon_11,128.94357299804688,carbon,11
1538,100.0,23.775201165106463,106.76598358154297,1,carbon_11,64.97086334228516,carbon,11
1539,101.0,24.629141616587987,67.23831176757812,1,carbon_11,93.21466827392578,carbon,11
1540,102.0,24.73357599349916,65.125,1,carbon_11,51.15727615356445,carbon,11
1541,103.0,22.48604124153293,318.6066589355469,1,carbon_11,119.4887924194336,carbon,11
1542,104.0,24.685713893782506,102.1517105102539,1,carbon_11,78.2254867553711,carbon,11
1543,105.0,27.15778693855766,66.83485412597656,1,carbon_11,141.87379455566406,carbon,11
1544,106.0,24.02862634415614,322.62384033203125,1,carbon_11,23.62723159790039,carbon,11
1545,107.0,25.551261355038147,192.1987762451172,1,carbon_11,178.11697387695312,carbon,11
1546,108.0,26.666709412798443,120.04608154296875,1,carbon_11,165.84959411621094,carbon,11
1547,109.0,44.035928450975454,101.79252624511719,1,carbon_11,36.26675033569336,carbon,11
1548,110.0,26.24786048864676,275.9184265136719,1,carbon_11,159.7122344970703,carbon,11
1549,111.0,27.290927394610645,148.3663330078125,1,carbon_11,227.0631103515625,carbon,11
1550,112.0,30.16656536748776,127.57746124267578,1,carbon_11,43.09436798095703,carbon,11
1551,113.0,44.090341101624816,122.0476303100586,1,carbon_11,151.8972930908203,carbon,11
1552,114.0,26.312827018316835,730.5178833007812,1,carbon_11,8.091937065124512,carbon,11
1553,115.0,39.40510546660344,136.1823272705078,1,carbon_11,55.96736145019531,carbon,11
1554,116.0,26.528195770774683,331.1020812988281,1,carbon_11,83.443115234375,carbon,11
1555,117.0,35.38571342247091,156.61148071289062,1,carbon_11,207.77101135253906,carbon,11
1556,118.0,31.879905538703518,172.59408569335938,1,carbon_11,210.71116638183594,carbon,11
1557,119.0,37.22203858291813,150.01365661621094,1,carbon_11,227.98121643066406,carbon,11
1558,120.0,27.86258838904332,233.9679412841797,1,carbon_11,198.4113006591797,carbon,11
1559,144.0,5.265282854600144,0.0,2,carbon_11,235.67910766601562,carbon,11
1560,174.0,6.412241728562366,0.0,2,carbon_11,135.5019073486328,carbon,11
1561,177.0,6.445626208872906,0.0,2,carbon_11,154.79542541503906,carbon,11
1562,181.0,6.752700454208468,0.0,2,carbon_11,109.4609146118164,carbon,11
1563,189.0,6.9707349142658686,0.0,2,carbon_11,151.9807891845703,carbon,11
1564,191.0,7.001548193381544,0.0,2,carbon_11,87.02978515625,carbon,11
1565,194.0,7.268345428270995,0.0,2,carbon_11,140.21487426757812,carbon,11
1566,199.0,7.544842432563209,0.0,2,carbon_11,18.866952896118164,carbon,11
1567,200.0,7.555565041806052,0.0,2,carbon_11,175.62228393554688,carbon,11
1568,201.0,7.652291771538306,0.0,2,carbon_11,66.84551239013672,carbon,11
1569,202.0,7.668713965728261,0.0,2,carbon_11,39.20602798461914,carbon,11
1570,213.0,8.339605982654012,0.0,2,carbon_11,207.77101135253906,carbon,11
1571,219.0,8.592397775447207,0.0,2,carbon_11,190.9546661376953,carbon,11
1572,221.0,8.699090969784146,0.0,2,carbon_11,158.686279296875,carbon,11
1573,222.0,9.087871850363427,0.0,2,carbon_11,135.63877868652344,carbon,11
1574,223.0,9.866096481116037,0.0,2,carbon_11,166.72280883789062,carbon,11
1575,225.0,56.352478990486524,0.0,2,carbon_11,109.4609146118164,carbon,11
1576,231.0,20.060962891675953,26.260080337524414,2,carbon_11,157.21493530273438,carbon,11
1577,235.0,22.196803655777387,50.58504104614258,2,carbon_11,87.93576049804688,carbon,11
1578,238.0,26.691422144350227,52.47933578491211,2,carbon_11,158.35604858398438,carbon,11
1579,240.0,25.69036894295327,54.5084228515625,2,carbon_11,248.579833984375,carbon,11
1580,249.0,4.35923040930492,0.0,3,carbon_11,140.21487426757812,carbon,11
1581,270.0,5.6406004565020345,0.0,3,carbon_11,227.38343811035156,carbon,11
1582,290.0,6.084819912318102,0.0,3,carbon_11,246.8173828125,carbon,11
1583,301.0,6.447614172840847,0.0,3,carbon_11,105.3099594116211,carbon,11
1584,329.0,7.7091988422165025,0.0,3,carbon_11,194.7051544189453,carbon,11
1585,335.0,8.15513471714389,0.0,3,carbon_11,190.11972045898438,carbon,11
1586,340.0,8.340930035508286,0.0,3,carbon_11,73.59800720214844,carbon,11
1587,349.0,8.903005259519551,0.0,3,carbon_11,194.5063934326172,carbon,11
1588,351.0,9.111671983459985,0.0,3,carbon_11,86.40428161621094,carbon,11
1589,353.0,10.176071052262985,0.0,3,carbon_11,166.16720581054688,carbon,11
1590,355.0,51.22456489082612,0.0,3,carbon_11,165.1056365966797,carbon,11
1591,359.0,92.61433875674751,0.0,3,carbon_11,101.97924041748047,carbon,11
1592,406.0,5.9954625541307776,0.0,4,carbon_11,190.21275329589844,carbon,11
1593,446.0,7.631643317443385,0.0,4,carbon_11,238.22808837890625,carbon,11
1594,448.0,7.652560501088796,0.0,4,carbon_11,164.29693603515625,carbon,11
1595,454.0,7.751791500303668,0.0,4,carbon_11,243.8948211669922,carbon,11
1596,473.0,8.897661998755972,0.0,4,carbon_11,109.4609146118164,carbon,11
1597,477.0,9.215946639683409,0.0,4,carbon_11,235.73977661132812,carbon,11
1598,478.0,9.613737831211195,0.0,4,carbon_11,195.5561981201172,carbon,11
1599,480.0,10.04009099825978,0.0,4,carbon_11,105.3099594116211,carbon,11
1600,1.0,3.5283991495283424,0.0,1,carbon_12,75.62844848632812,carbon,12
1601,2.0,3.9097520004331594,0.0,1,carbon_12,209.17173767089844,carbon,12
1602,3.0,4.04118323021509,0.0,1,carbon_12,108.19461822509766,carbon,12
1603,4.0,4.105934636282814,0.0,1,carbon_12,224.25946044921875,carbon,12
1604,5.0,4.125592608208864,0.0,1,carbon_12,223.5579071044922,carbon,12
1605,6.0,4.18847726526909,0.0,1,carbon_12,103.4769515991211,carbon,12
1606,7.0,4.204944137527272,0.0,1,carbon_12,78.60089111328125,carbon,12
1607,8.0,4.245746653925586,0.0,1,carbon_12,234.03570556640625,carbon,12
1608,10.0,4.497471382427332,0.0,1,carbon_12,79.41454315185547,carbon,12
1609,11.0,4.616537954663102,0.0,1,carbon_12,244.5106201171875,carbon,12
1610,12.0,4.624611068090406,0.0,1,carbon_12,102.61193084716797,carbon,12
1611,13.0,4.689027901882318,0.0,1,carbon_12,132.2403106689453,carbon,12
1612,14.0,4.850121401041176,0.0,1,carbon_12,172.48255920410156,carbon,12
1613,15.0,4.881374837409325,0.0,1,carbon_12,208.76979064941406,carbon,12
1614,16.0,4.956789455956933,0.0,1,carbon_12,104.39228057861328,carbon,12
1615,17.0,5.009527654300877,0.0,1,carbon_12,34.61533737182617,carbon,12
1616,18.0,5.032646207814525,0.0,1,carbon_12,61.4704704284668,carbon,12
1617,19.0,5.087523423728591,0.0,1,carbon_12,230.62130737304688,carbon,12
1618,20.0,5.101401696639539,0.0,1,carbon_12,191.8668670654297,carbon,12
1619,21.0,5.122829778736507,0.0,1,carbon_12,205.90948486328125,carbon,12
1620,22.0,5.1427917103592815,0.0,1,carbon_12,83.42354583740234,carbon,12
1621,23.0,5.17645187585493,0.0,1,carbon_12,113.92066192626953,carbon,12
1622,24.0,5.303285033412656,0.0,1,carbon_12,184.12564086914062,carbon,12
1623,25.0,5.338287059910506,0.0,1,carbon_12,98.56117248535156,carbon,12
1624,26.0,5.4753559757820245,0.0,1,carbon_12,95.53443145751953,carbon,12
1625,27.0,5.522708821573733,0.0,1,carbon_12,216.95506286621094,carbon,12
1626,28.0,5.648913933876733,0.0,1,carbon_12,164.26617431640625,carbon,12
1627,29.0,5.6511149749672045,0.0,1,carbon_12,87.41104125976562,carbon,12
1628,30.0,5.652163531084451,0.0,1,carbon_12,42.81509780883789,carbon,12
1629,31.0,5.673330705318446,0.0,1,carbon_12,205.35377502441406,carbon,12
1630,32.0,5.677321641404589,0.0,1,carbon_12,115.63811492919922,carbon,12
1631,33.0,5.70414375526839,0.0,1,carbon_12,239.7147674560547,carbon,12
1632,34.0,5.707797862703268,0.0,1,carbon_12,39.94435501098633,carbon,12
1633,35.0,5.713859829644215,0.0,1,carbon_12,244.5106201171875,carbon,12
1634,36.0,5.7395027507756495,0.0,1,carbon_12,154.4632110595703,carbon,12
1635,37.0,5.771468120434777,0.0,1,carbon_12,170.55567932128906,carbon,12
1636,38.0,5.788929072814597,0.0,1,carbon_12,193.0504913330078,carbon,12
1637,39.0,5.797196659644282,0.0,1,carbon_12,92.25277709960938,carbon,12
1638,40.0,5.929715018256361,0.0,1,carbon_12,101.52922821044922,carbon,12
1639,41.0,5.9741578335264975,0.0,1,carbon_12,74.65917205810547,carbon,12
1640,42.0,5.990078965399995,0.0,1,carbon_12,11.912127494812012,carbon,12
1641,43.0,6.0369162257488975,0.0,1,carbon_12,48.118289947509766,carbon,12
1642,44.0,6.074587437625137,0.0,1,carbon_12,101.52922821044922,carbon,12
1643,45.0,6.081846266088874,0.0,1,carbon_12,159.5811309814453,carbon,12
1644,46.0,6.082094615783223,0.0,1,carbon_12,80.28983306884766,carbon,12
1645,47.0,6.095158018650777,0.0,1,carbon_12,58.03984451293945,carbon,12
1646,48.0,6.1115691482010055,0.0,1,carbon_12,87.6920394897461,carbon,12
1647,49.0,6.171142547400888,0.0,1,carbon_12,207.7811279296875,carbon,12
1648,50.0,6.2290483768655704,0.0,1,carbon_12,86.93970489501953,carbon,12
1649,51.0,6.292060463595649,0.0,1,carbon_12,201.66278076171875,carbon,12
1650,52.0,6.4031243824284045,0.0,1,carbon_12,178.1386260986328,carbon,12
1651,53.0,6.422255212605204,0.0,1,carbon_12,249.14627075195312,carbon,12
1652,54.0,6.422282204704769,0.0,1,carbon_12,124.09876251220703,carbon,12
1653,55.0,6.60062173771632,0.0,1,carbon_12,67.52246856689453,carbon,12
1654,56.0,6.685414625227377,0.0,1,carbon_12,203.0961151123047,carbon,12
1655,57.0,6.706379803424348,0.0,1,carbon_12,102.92493438720703,carbon,12
1656,58.0,6.7768389380858975,0.0,1,carbon_12,238.52011108398438,carbon,12
1657,59.0,6.8149558392147895,0.0,1,carbon_12,233.4309539794922,carbon,12
1658,60.0,6.828565862585827,0.0,1,carbon_12,64.34253692626953,carbon,12
1659,61.0,6.884289740126138,0.0,1,carbon_12,62.34856033325195,carbon,12
1660,62.0,6.901496450333228,0.0,1,carbon_12,177.0083465576172,carbon,12
1661,63.0,6.907353103567715,0.0,1,carbon_12,116.33799743652344,carbon,12
1662,64.0,6.966628311447722,0.0,1,carbon_12,96.7973861694336,carbon,12
1663,65.0,6.998803086108763,0.0,1,carbon_12,88.98320770263672,carbon,12
1664,66.0,7.116644152518305,0.0,1,carbon_12,113.89572143554688,carbon,12
1665,67.0,7.156150817007017,0.0,1,carbon_12,178.1386260986328,carbon,12
1666,68.0,7.278437702905157,0.0,1,carbon_12,243.1327362060547,carbon,12
1667,69.0,7.280806388876821,0.0,1,carbon_12,219.09445190429688,carbon,12
1668,70.0,7.313974135487804,0.0,1,carbon_12,80.28983306884766,carbon,12
1669,71.0,7.352585603848633,0.0,1,carbon_12,205.90948486328125,carbon,12
1670,72.0,7.692249560044675,0.0,1,carbon_12,227.4393310546875,carbon,12
1671,73.0,7.707012261200898,0.0,1,carbon_12,219.13021850585938,carbon,12
1672,74.0,7.745218415585097,0.0,1,carbon_12,48.118289947509766,carbon,12
1673,75.0,7.901394881879411,0.0,1,carbon_12,104.08928680419922,carbon,12
1674,76.0,7.954694896535321,0.0,1,carbon_12,92.25277709960938,carbon,12
1675,77.0,7.970990285085167,0.0,1,carbon_12,97.89279174804688,carbon,12
1676,78.0,8.037813665300773,0.0,1,carbon_12,34.3992919921875,carbon,12
1677,79.0,8.158651982274204,0.0,1,carbon_12,88.62324523925781,carbon,12
1678,80.0,8.180779331353323,0.0,1,carbon_12,120.68215942382812,carbon,12
1679,81.0,8.184957961833085,0.0,1,carbon_12,216.95506286621094,carbon,12
1680,82.0,8.378665043426219,0.0,1,carbon_12,104.39228057861328,carbon,12
1681,83.0,8.403655132993277,0.0,1,carbon_12,219.13021850585938,carbon,12
1682,84.0,8.426376195335669,0.0,1,carbon_12,75.62844848632812,carbon,12
1683,85.0,8.511503584981282,0.0,1,carbon_12,67.00236511230469,carbon,12
1684,86.0,8.579289429738045,0.0,1,carbon_12,249.14627075195312,carbon,12
1685,87.0,8.655059530846533,0.0,1,carbon_12,83.42354583740234,carbon,12
1686,88.0,10.869112241013582,1.575604796409607,1,carbon_12,234.94471740722656,carbon,12
1687,89.0,10.961346472948891,1.575604796409607,1,carbon_12,170.55567932128906,carbon,12
1688,90.0,11.382362170735702,1.875720024108887,1,carbon_12,88.98320770263672,carbon,12
1689,91.0,11.785358298381887,6.827620983123779,1,carbon_12,28.79743766784668,carbon,12
1690,92.0,19.30034952705309,28.135799407958984,1,carbon_12,124.09876251220703,carbon,12
1691,93.0,18.20274041588468,32.037296295166016,1,carbon_12,120.8982162475586,carbon,12
1692,94.0,22.92220002974841,44.64213562011719,1,carbon_12,131.6901092529297,carbon,12
1693,95.0,22.250439800273977,73.6729965209961,1,carbon_12,127.46685791015625,carbon,12
1694,96.0,22.142220582763716,77.74111938476562,1,carbon_12,236.94027709960938,carbon,12
1695,97.0,22.81172336918087,53.121952056884766,1,carbon_12,29.91652488708496,carbon,12
1696,98.0,21.575875417216142,110.36736297607422,1,carbon_12,132.2403106689453,carbon,12
1697,99.0,24.2444164787951,87.70866394042969,1,carbon_12,66.23389434814453,carbon,12
