,Plant_Type,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost-Medium _2018,Connect_system_cost-Medium _2020,Connect_system_cost-Medium _2025,Constr_cost-High _2018,Constr_cost-High _2020,Constr_cost-High _2025,Constr_cost-Low _2018,Constr_cost-Low _2020,Constr_cost-Low _2025,Constr_cost-Medium _2018,Constr_cost-Medium _2020,Constr_cost-Medium _2025,Fixed_cost-Medium _2018,Fixed_cost-Medium _2020,Fixed_cost-Medium _2025,Infra_cost-High _2018,Infra_cost-High _2020,Infra_cost-High _2025,Infra_cost-Low _2018,Infra_cost-Low _2020,Infra_cost-Low _2025,Infra_cost-Medium _2018,Infra_cost-Medium _2020,Infra_cost-Medium _2025,Insurance_cost-Medium _2018,Insurance_cost-Medium _2020,Insurance_cost-Medium _2025,Pre_dev_cost-High _2018,Pre_dev_cost-High _2020,Pre_dev_cost-High _2025,Pre_dev_cost-Low _2018,Pre_dev_cost-Low _2020,Pre_dev_cost-Low _2025,Pre_dev_cost-Medium _2018,Pre_dev_cost-Medium _2020,Pre_dev_cost-Medium _2025,Var_cost-Medium _2018,Var_cost-Medium _2020,Var_cost-Medium _2025,Type
50,Gas - CCS CCGT oxy FOAK ,1038,0.88,0.42,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.167,0.167,0.167,0.167,0.167,0.167,,,6,,,3300,,,2700000,,,1700000,,,2100000,,,83800,,,30200,,,7600,,,15100,,,7500,,,80000,,,30000,,,40000,,,4,CCGT_CCS
51,Gas - CCS OCGT post FOAK ,290,0.85,0.24,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,2500,,,3000000,,,1900000,,,2300000,,,31800,,,30200,,,7600,,,15100,,,8500,,,120000,,,60000,,,80000,,,3,OCGT_CCS
52,Coal - CCS ASC Partial FOAK ,734,0.91,0.38,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800,,,3400000,,,2100000,,,2600000,,,56400,,,15000,,,5000,,,10000,,,9600,,,80000,,,40000,,,60000,,,3,Coal
53,Coal - CCS ASC FOAK ,624,0.91,0.32,25,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800,,,5500000,,,3400000,,,4200000,,,78500,,,15000,,,5000,,,10000,,,15800,,,110000,,,60000,,,70000,,,3,Coal
54,Coal - CCS ASC retrofit FOAK ,390,0.91,0.31,15,0.25,0.25,0.25,0.25,,,,,4,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800,,,3000000,,,1900000,,,2400000,,,80700,,,0,,,0,,,0,,,8200,,,50000,,,20000,,,30000,,,3,Coal_Retro
55,Recip Gas 2000 hr ,20,0.22,0.32,15,1,,,,,,,,1,0.5,0.5,,,,,,,2,-31900,-31900,-31900,300000,300000,300000,300000,300000,300000,300000,300000,300000,10000,10000,10000,10300,10300,10300,700,700,700,3400,3400,3400,1000,1000,1000,20000,20000,20000,10000,10000,10000,10000,10000,10000,2,2,2,Recip_gas
56,RECIP GAS 500 hrs ,20,0.05,0.32,15,1,,,,,,,,1,0.5,0.5,,,,,,,2,-28500,-28500,-28500,300000,300000,300000,300000,300000,300000,300000,300000,300000,10000,10000,10000,10300,10300,10300,700,700,700,3400,3400,3400,1000,1000,1000,20000,20000,20000,10000,10000,10000,10000,10000,10000,2,2,2,Recip_gas
57,Nuclear - PWR FOAK ,3300,0.9,1,60,0.05,0.05,0.2,0.2,0.2,0.2,0.05,0.05,8,0.2,0.2,0.2,0.2,0.2,,,,5,,,500,,,5100000,,,3700000,,,4100000,,,72900,,,50000,,,0,,,11500,,,10000,,,640000,,,110000,,,240000,,,5,Nuclear
58,Pumped storage ,600,0.21,0.77,50,0.222,0.222,0.222,0.222,0.111,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,15800,15800,15800,1500000,1500000,1600000,700000,700000,700000,1000000,1000000,1000000,11200,11200,11200,50000,50000,50000,10000,10000,10000,25000,25000,25000,4100,4100,4100,50000,50000,50000,30000,30000,30000,40000,40000,40000,42,42,42,Pumped_storage
59,OCGT 100MW 2000 hr ,96,0.22,0.35,25,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500,2500,2500,800000,800000,800000,600000,600000,600000,600000,600000,600000,14800,14800,14800,25100,25100,25100,6300,6300,6300,12600,12600,12600,2500,2500,2500,90000,90000,90000,70000,70000,70000,80000,80000,80000,4,4,4,OCGT
60,Recip Diesel 2000 hr ,20,0.22,0.34,15,1,,,,,,,,1,0.5,0.5,,,,,,,2,-31900,-31900,-31900,300000,300000,300000,200000,200000,200000,300000,300000,300000,10000,10000,10000,6500,6500,6500,400,400,400,2200,2200,2200,1000,1000,1000,20000,20000,20000,10000,10000,10000,10000,10000,10000,2,2,2,Recip_diesel
61,Recip Diesel 500 hrs ,20,0.05,0.34,15,1,,,,,,,,1,0.5,0.5,,,,,,,2,-28500,-28500,-28500,300000,300000,300000,200000,200000,200000,300000,300000,300000,10000,10000,10000,6500,6500,6500,400,400,400,2200,2200,2200,1000,1000,1000,20000,20000,20000,10000,10000,10000,10000,10000,10000,2,2,2,Recip_diesel
62,Recip Diesel 90 hrs ,20,0.01,0.34,15,1,,,,,,,,1,0.5,0.5,,,,,,,2,-28000,-28000,-28000,300000,300000,300000,200000,200000,200000,300000,300000,300000,10000,10000,10000,6500,6500,6500,400,400,400,2200,2200,2200,1000,1000,1000,20000,20000,20000,10000,10000,10000,10000,10000,10000,2,2,2,Recip_diesel
