,Company,Name,Simplified_Type,Capacity,Start_date
328,Great Glen,Invergarry,Hydro,20.0,1956
329,Great Glen,Kingairloch,Hydro,4.0,2005
331,Shin,Cassley,Hydro,10.0,1959
332,Shin,Lairg,Hydro,4.0,1959
333,Shin,Shin,Hydro,18.0,1958
335,Sloy/Awe,Sloy,Hydro,153.0,1950
336,Sloy/Awe,Sron Mor,Hydro,4.0,1957
337,Sloy/Awe,Clachan,Hydro,40.0,1955
338,Sloy/Awe,Allt-na-Lairige,Hydro,7.0,1956
339,Sloy/Awe,Nant,Hydro,15.0,1963
340,Sloy/Awe,Inverawe,Hydro,25.0,1963
341,Sloy/Awe,Kilmelfort,Hydro,2.0,1956
342,Sloy/Awe,Loch Gair,Hydro,6.0,1961
343,Sloy/Awe,Lussa,Hydro,2.0,1952
344,Sloy/Awe,Striven,Hydro,8.0,1951
345,Tummel,Gaur,Hydro,8.0,1953
346,Tummel,Cuaich,Hydro,3.0,1959
347,Tummel,Loch Ericht,Hydro,2.0,1962
348,Tummel,Rannoch,Hydro,45.0,1930
349,Tummel,Clunie,Hydro,61.0,1950
350,Tummel,Tummel,Hydro,34.0,1933
351,Tummel,Errochty,Hydro,75.0,1955
352,Tummel,Pitlochry,Hydro,15.0,1950
354,SSE,Artfield Fell,Onshore,20.0,2005
355,SSE,Balmurrie Fell,Onshore,9.0,2012
356,SSE,Bu,Onshore,3.0,2002
357,SSE,Hadyard Hill,Onshore,120.0,2005
358,SSE,Spurness Extension (19),Onshore,10.0,2012
359,SSE,Tangy,Onshore,19.0,2002
360,SSE,Drumderg,Onshore,37.0,2008
362,SSE,Bessy Bell 1,Onshore,5.0,1995
363,SSE,Bessy Bell 2,Onshore,9.0,2008
364,SSE,Bin Mountain (20),Onshore,9.0,2007
365,SSE,Tappaghan (20),Onshore,29.0,2005
366,SSE,Slieve Kirk,Onshore,28.0,2011
367,SSE,Carcant (20),Onshore,7.0,2010
368,SSE,Toddleburn,Onshore,28.0,2010
369,SSE,Griffin,Onshore,156.0,2011
370,SSE,Greater Gabbard (21),Offshore,504.0,2011
371,SSE,Achany,Onshore,38.0,2010
372,SSE,Fairburn,Onshore,40.0,2009
373,SSE,Clyde South,Onshore,129.0,2011
374,SSE,Clyde Central,Onshore,113.0,2011
375,SSE,Clyde North,Onshore,108.0,2012
376,SSE,Gordonbush,Onshore,70.0,2011
378,Small Hydros:,Chliostair,Hydro,1.0,1960
379,Small Hydros:,Cuileig,Hydro,3.0,2002
380,Small Hydros:,Kerry Falls,Hydro,1.0,1951
381,Small Hydros:,Nostie Bridge,Hydro,1.0,1950
382,Small Hydros:,Storr Lochs,Hydro,2.0,1952
384,SSE,Peterhead (22),CCGT,1180.0,1980
385,SSE,Keadby,CCGT,710.0,1994
386,SSE,Keadby GT,OCGT,25.0,1994
387,SSE,Medway,CCGT,700.0,1995
388,SSE,Ferrybridge C,Coal,1960.0,1966
389,SSE,Fiddler’s Ferry,Coal,1961.0,1971
390,SSE,Ferrybridge GT,OCGT,34.0,1966
391,SSE,Fiddler’s Ferry GT,OCGT,34.0,1969
392,SSE,Uskmouth,Biomass_wood,240.0,2000
393,SSE,Slough,Biomass_wood,61.0,1918
395,SSE,Chickerell,OCGT,45.0,1998
396,SSE,Burghfield,OCGT,45.0,1998
399,SSE,Chippenham,Recip_gas,10.0,2002
402,SSE,Arnish,Recip_diesel,10.0,2001
403,SSE,Barra,Recip_diesel,3.0,1990
404,SSE,Bowmore,Recip_diesel,6.0,1946
405,SSE,Kirkwall,Recip_diesel,16.0,1953
406,SSE,Lerwick,Recip_diesel,67.0,1953
407,SSE,"Loch Carnan, South Uist",Recip_diesel,10.0,1971
408,SSE,Stornoway,Recip_diesel,19.0,1950
409,SSE,Tiree,Recip_diesel,3.0,1945
412,Galloway,Carsfad,Hydro,12.0,1936
413,Galloway,Drumjohn,Hydro,2.0,1985
414,Galloway,Earlstoun,Hydro,14.0,1936
415,Galloway,Glenlee,Hydro,24.0,1935
416,Galloway,Kendoon,Hydro,24.0,1936
417,Galloway,Tongland,Hydro,33.0,1935
419,Lanark,Bonnington,Hydro,11.0,1927
420,Lanark,Stonebyres,Hydro,6.0,1927
422,Cruachan,Cruachan,Hydro_Store,440.0,1966
424,SSE,Longannet,Coal,2304.0,1970
425,SSE,Damhead Creek,CCGT,800.0,2000
426,SSE,Pilkington - Greengate,OCGT,10.0,1998
427,SSE,Rye House,CCGT,715.0,1993
428,SSE,Shoreham,CCGT,400.0,2000
430,SSE,Arecleoch,Onshore,120.0,2010
431,SSE,Beinn an Tuirc I,Onshore,30.0,2001
432,SSE,Beinn an Tuirc II,Onshore,7.0,2012
433,SSE,Beinn Tharsuinn,Onshore,30.0,2007
434,SSE,Black Law,Onshore,124.0,2005
435,SSE,Callagheen,Onshore,17.0,2006
436,SSE,Carland Cross RP,Onshore,10.0,2013
437,SSE,Clachan Flats,Onshore,15.0,2009
438,SSE,Coal Clough,Onshore,10.0,1992
439,SSE,Coldham,Onshore,16.0,2006
440,SSE,Corkey,Onshore,5.0,1994
441,SSE,Cruach Mhor,Onshore,30.0,2004
442,SSE,Dun Law I,Onshore,17.0,2000
443,SSE,Dun Law II,Onshore,30.0,2009
444,SSE,Elliots Hill,Onshore,5.0,1995
445,SSE,Greenknowes,Onshore,27.0,2008
446,SSE,Hagshaw Hill I,Onshore,16.0,1995
447,SSE,Hagshaw Hill II,Onshore,26.0,2009
448,SSE,Hare Hill,Onshore,13.0,2000
449,SSE,Lynemouth,Onshore,26.0,2012
450,SSE,Mark Hill,Onshore,56.0,2011
451,SSE,Middleton,Onshore,12.0,2013
452,SSE,Penryddian & Llidiartywaun,Onshore,31.0,1992
