year,type,run_id,,index,run_id,Type,value,Technology,year,value_perc
2013.0,Predicted,36.0,2,744,36.0,Predicted,6484.1140208785355,Nuclear,2013.0,25.31665588711338
2013.0,Predicted,36.0,3,1008,36.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,36.0,4,1272,36.0,Predicted,1164.5387031367568,Wind,2013.0,4.546839478702442
2013.0,Predicted,36.0,5,1536,36.0,Predicted,7494.9238630137015,Gas,2013.0,29.263274478064094
2013.0,Predicted,37.0,0,222,37.0,Predicted,10738.410930365279,Coal,2013.0,41.96039002076861
2013.0,Predicted,37.0,1,486,37.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,37.0,2,750,37.0,Predicted,6496.258028272141,Nuclear,2013.0,25.384158076038165
2013.0,Predicted,37.0,3,1014,37.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,37.0,4,1278,37.0,Predicted,1164.6089937659806,Wind,2013.0,4.550714990979874
2013.0,Predicted,37.0,5,1542,37.0,Predicted,7192.502593607307,Gas,2013.0,28.10473691221335
2013.0,Predicted,38.0,0,228,38.0,Predicted,10873.728280821899,Coal,2013.0,42.422684214645
2013.0,Predicted,38.0,1,492,38.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,38.0,2,756,38.0,Predicted,6496.258028272141,Nuclear,2013.0,25.3444536954542
2013.0,Predicted,38.0,3,1020,38.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,38.0,4,1284,38.0,Predicted,1164.6334792235148,Wind,2013.0,4.543692562379169
2013.0,Predicted,38.0,5,1548,38.0,Predicted,7097.252598173518,Gas,2013.0,27.689169527521635
2013.0,Predicted,39.0,0,234,39.0,Predicted,10763.28970776254,Coal,2013.0,42.05755516491766
2013.0,Predicted,39.0,1,498,39.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,39.0,2,762,39.0,Predicted,6492.587226037256,Nuclear,2013.0,25.369784966873805
2013.0,Predicted,39.0,3,1026,39.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,39.0,4,1290,39.0,Predicted,1164.4108183146109,Wind,2013.0,4.549935340918548
2013.0,Predicted,39.0,5,1554,39.0,Predicted,7171.5224840182655,Gas,2013.0,28.022724527290016
2013.0,Predicted,40.0,0,240,40.0,Predicted,10844.46319977167,Coal,2013.0,42.27798708730591
2013.0,Predicted,40.0,1,504,40.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,40.0,2,768,40.0,Predicted,6467.840108531503,Nuclear,2013.0,25.21538001041965
2013.0,Predicted,40.0,3,1032,40.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,40.0,4,1296,40.0,Predicted,1164.4036011159808,Wind,2013.0,4.539518416497596
2013.0,Predicted,40.0,5,1560,40.0,Predicted,7173.670383561645,Gas,2013.0,27.967114485776833
2013.0,Predicted,41.0,0,246,41.0,Predicted,10846.900836757974,Coal,2013.0,42.29709519494872
2013.0,Predicted,41.0,1,510,41.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,41.0,2,774,41.0,Predicted,6425.383877804928,Nuclear,2013.0,25.055550671451932
2013.0,Predicted,41.0,3,1038,41.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,41.0,4,1302,41.0,Predicted,1163.5610078477157,Wind,2013.0,4.537263818922791
2013.0,Predicted,41.0,5,1566,41.0,Predicted,7208.70690410959,Gas,2013.0,28.11009031467656
2013.0,Predicted,42.0,0,252,42.0,Predicted,10898.116013698613,Coal,2013.0,42.55882380246181
2013.0,Predicted,42.0,1,516,42.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,42.0,2,780,42.0,Predicted,6499.442127771686,Nuclear,2013.0,25.381323889601077
2013.0,Predicted,42.0,3,1044,42.0,Predicted,0.0,,2013.0,0.0
