DATE,CLOSING PRICE
01/05/2016,8.03
01/04/2016,8.07
12/30/2015,8.25
12/29/2015,8.3
12/28/2015,8.36
12/23/2015,8.26
12/22/2015,8.29
12/21/2015,8.22
12/17/2015,8.12
12/16/2015,8.17
12/15/2015,8.23
12/14/2015,8.11
12/10/2015,8.39
12/09/2015,8.44
12/08/2015,8.44
12/07/2015,8.45
12/04/2015,8.55
12/03/2015,8.61
12/02/2015,8.53
12/01/2015,8.59
11/30/2015,8.62
11/27/2015,8.61
11/26/2015,8.63
11/25/2015,8.66
11/24/2015,8.68
11/23/2015,8.59
11/20/2015,8.54
11/19/2015,8.66
11/18/2015,8.61
11/17/2015,8.66
11/16/2015,8.57
11/13/2015,8.44
11/12/2015,8.43
11/11/2015,8.48
11/10/2015,8.48
11/09/2015,8.36
11/05/2015,8.49
11/04/2015,8.44
11/03/2015,8.51
11/02/2015,8.64
10/29/2015,8.72
10/28/2015,8.62
10/27/2015,8.66
10/26/2015,8.7
10/22/2015,8.51
10/21/2015,8.49
10/20/2015,8.48
10/19/2015,8.39
10/15/2015,8.47
10/14/2015,8.48
10/13/2015,8.38
10/12/2015,8.35
10/08/2015,8.18
10/07/2015,8.15
10/06/2015,8.25
10/05/2015,8.25
10/01/2015,8.21
9/30/2015,8.18
9/29/2015,8.02
9/28/2015,7.98
9/24/2015,8.06
9/23/2015,8.14
9/22/2015,8.07
9/21/2015,8.05
9/17/2015,8.28
9/16/2015,8.3
9/15/2015,8.24
9/14/2015,8.3
09/10/2015,8.34
09/09/2015,8.32
09/08/2015,8.29
09/07/2015,8.15
09/03/2015,8.24
09/02/2015,8.18
09/01/2015,8.07
8/31/2015,8.12
8/27/2015,8.1
8/26/2015,8.17
8/25/2015,8.31
8/24/2015,8.27
8/20/2015,8.44
8/19/2015,8.4
8/18/2015,8.32
8/17/2015,8.3
8/13/2015,8.26
08/12/2015,8.26
08/11/2015,8.13
08/10/2015,7.99
08/06/2015,7.9
08/05/2015,7.88
08/04/2015,7.97
08/03/2015,8.02
7/30/2015,7.92
7/29/2015,8.12
7/28/2015,8.08
7/27/2015,8.08
7/23/2015,8.14
7/22/2015,8.02
7/21/2015,8.01
7/20/2015,8.06
7/16/2015,7.72
7/15/2015,7.83
7/14/2015,7.8
7/13/2015,7.84
07/09/2015,7.54
07/08/2015,7.52
07/07/2015,7.52
07/06/2015,7.43
07/02/2015,7.53
07/01/2015,7.55
6/30/2015,7.51
6/29/2015,7.42
6/25/2015,7.66
6/24/2015,7.56
6/23/2015,7.57
6/22/2015,7.55
6/18/2015,7.51
6/17/2015,7.55
6/16/2015,7.5
6/15/2015,7.6
06/12/2015,7.67
06/11/2015,7.58
06/10/2015,7.66
06/09/2015,7.64
06/08/2015,7.53
06/05/2015,7.48
06/04/2015,7.48
06/03/2015,7.57
06/02/2015,7.5
06/01/2015,7.32
5/29/2015,7.39
5/28/2015,7.2
5/27/2015,6.72
5/26/2015,7.22
5/22/2015,7.38
5/21/2015,7.28
5/20/2015,7.35
5/19/2015,7.25
5/18/2015,7.58
5/15/2015,7.66
5/14/2015,7.56
5/13/2015,7.6
05/12/2015,7.59
05/11/2015,7.59
05/08/2015,7.59
05/07/2015,7.44
05/06/2015,7.54
05/05/2015,7.54
05/04/2015,7.58
4/30/2015,7.42
4/29/2015,7.42
4/28/2015,7.22
4/27/2015,7.12
4/24/2015,7.36
4/23/2015,7.24
4/22/2015,7.07
4/21/2015,7.04
4/20/2015,7.12
4/17/2015,6.93
4/16/2015,6.86
4/15/2015,6.84
4/14/2015,6.8
4/13/2015,6.8
04/10/2015,7.05
04/09/2015,7.02
04/08/2015,7.12
04/07/2015,7.1
04/02/2015,7.2
04/01/2015,7.24
12/15/2014,6.84
12/11/2014,6.74
12/10/2014,6.51
12/09/2014,6.74
12/08/2014,6.67
12/04/2014,6.84
12/03/2014,6.88
12/02/2014,6.87
12/01/2014,7.05
11/27/2014,7.09
11/26/2014,7.19
11/25/2014,7.12
11/24/2014,7.05
11/20/2014,6.94
11/19/2014,7.03
11/18/2014,7.02
11/17/2014,6.86
11/13/2014,6.8
11/12/2014,6.84
11/11/2014,6.8
11/10/2014,6.71
11/06/2014,6.64
11/05/2014,6.66
11/04/2014,6.5
11/03/2014,6.57
10/30/2014,6.41
10/29/2014,6.41
10/28/2014,6.16
10/27/2014,6.3
10/23/2014,6.34
10/22/2014,6.24
10/21/2014,6.18
10/20/2014,6.14
10/16/2014,6.22
10/15/2014,6.16
10/14/2014,6.08
10/13/2014,6.05
10/09/2014,6.11
10/08/2014,6.05
10/07/2014,5.74
10/06/2014,5.68
10/02/2014,5.69
10/01/2014,5.82
9/30/2014,5.83
9/29/2014,5.77
9/25/2014,5.82
9/24/2014,5.82
9/23/2014,5.68
9/22/2014,6
9/18/2014,5.99
9/17/2014,5.9
9/16/2014,5.87
9/15/2014,6.06
09/11/2014,6.25
09/10/2014,6.22
09/09/2014,6.27
09/08/2014,6.42
09/04/2014,6.26
09/03/2014,6.5
09/02/2014,6.56
09/01/2014,6.56
8/28/2014,6.6
8/27/2014,6.53
8/26/2014,6.48
8/25/2014,6.5
8/21/2014,6.53
8/20/2014,6.56
8/19/2014,6.62
8/18/2014,6.53
8/14/2014,6.38
8/13/2014,6.43
08/12/2014,6.3
08/11/2014,6.33
08/07/2014,6.1
08/06/2014,6.38
08/05/2014,6.38
08/04/2014,6.42
7/31/2014,6.39
7/30/2014,6.34
7/29/2014,6.21
7/28/2014,6.39
7/24/2014,6.23
7/23/2014,6.35
7/22/2014,6.36
7/21/2014,6.25
7/17/2014,6.35
7/16/2014,6.22
7/15/2014,6.13
7/14/2014,6.06
07/10/2014,5.87
07/09/2014,5.98
07/08/2014,5.91
07/07/2014,5.74
07/03/2014,6.21
07/02/2014,6.3
07/01/2014,6.22
6/30/2014,6.04
6/26/2014,5.76
6/25/2014,5.76
6/24/2014,5.79
6/23/2014,5.83
6/19/2014,5.58
6/18/2014,5.7
6/17/2014,5.74
6/16/2014,5.69
06/12/2014,5.59
06/11/2014,5.4
06/10/2014,5.53
06/09/2014,5.56
06/05/2014,5.57
06/04/2014,5.44
06/03/2014,5.47
06/02/2014,5.2
5/29/2014,5.23
5/28/2014,5.24
5/27/2014,5.22
5/26/2014,5.15
5/22/2014,5.22
5/21/2014,5.15
5/20/2014,4.9
5/19/2014,4.75
5/15/2014,4.83
5/14/2014,5.17
5/13/2014,5.34
05/12/2014,5.36
05/08/2014,5.19
05/07/2014,5.18
05/06/2014,5.28
05/05/2014,5.27
05/02/2014,5.23
4/30/2014,5.4
4/29/2014,5.46
4/28/2014,5.26
4/24/2014,5.77
4/23/2014,5.72
4/22/2014,5.73
4/17/2014,5.6
4/16/2014,5.48
4/15/2014,5.6
4/14/2014,5.29
04/10/2014,5.18
04/09/2014,4.99
04/08/2014,4.92
04/07/2014,5.04
04/03/2014,4.9
04/02/2014,4.88
04/01/2014,5.1
3/31/2014,4.7
3/27/2014,5.24
3/26/2014,5.86
3/25/2014,5.93
3/24/2014,5.95
3/20/2014,6.08
3/19/2014,6.07
3/18/2014,5.85
3/17/2014,5.95
3/13/2014,6.5
03/12/2014,6.58
03/11/2014,6.88
03/10/2014,6.98
03/06/2014,6.88
03/05/2014,6.87
03/04/2014,6.9
03/03/2014,6.68
2/27/2014,6.58
2/26/2014,6.58
2/25/2014,6.3
2/24/2014,7.11
2/20/2014,7.09
2/19/2014,7.01
2/18/2014,6.84
2/17/2014,6.88
