,index,date,cluster,hour,data_type,capacity_factor
305,17,2009-01-29,55.0,17,solar,0.0
306,18,2009-01-29,55.0,18,solar,0.0
307,19,2009-01-29,55.0,19,solar,0.0
308,20,2009-01-29,55.0,20,solar,0.0
309,21,2009-01-29,55.0,21,solar,0.0
310,22,2009-01-29,55.0,22,solar,0.0
311,23,2009-01-29,55.0,23,solar,0.0
312,24,2009-09-05,84.0,0,solar,0.0
313,25,2009-09-05,84.0,1,solar,0.0
314,26,2009-09-05,84.0,2,solar,0.0
315,27,2009-09-05,84.0,3,solar,0.0
316,28,2009-09-05,84.0,4,solar,0.0
317,29,2009-09-05,84.0,5,solar,0.0023
318,30,2009-09-05,84.0,6,solar,0.0788
319,31,2009-09-05,84.0,7,solar,0.2051
320,32,2009-09-05,84.0,8,solar,0.3241
321,33,2009-09-05,84.0,9,solar,0.42
322,34,2009-09-05,84.0,10,solar,0.4717
323,35,2009-09-05,84.0,11,solar,0.4814
324,36,2009-09-05,84.0,12,solar,0.4687
325,37,2009-09-05,84.0,13,solar,0.4019
326,38,2009-09-05,84.0,14,solar,0.3038
327,39,2009-09-05,84.0,15,solar,0.2151
328,40,2009-09-05,84.0,16,solar,0.1282
329,41,2009-09-05,84.0,17,solar,0.0542
330,42,2009-09-05,84.0,18,solar,0.0044
331,43,2009-09-05,84.0,19,solar,0.0
332,44,2009-09-05,84.0,20,solar,0.0
333,45,2009-09-05,84.0,21,solar,0.0
334,46,2009-09-05,84.0,22,solar,0.0
335,47,2009-09-05,84.0,23,solar,0.0
336,48,2011-02-25,97.0,0,solar,0.0
337,49,2011-02-25,97.0,1,solar,0.0
338,50,2011-02-25,97.0,2,solar,0.0
339,51,2011-02-25,97.0,3,solar,0.0
340,52,2011-02-25,97.0,4,solar,0.0
341,53,2011-02-25,97.0,5,solar,0.0
342,54,2011-02-25,97.0,6,solar,0.0
343,55,2011-02-25,97.0,7,solar,0.0087
344,56,2011-02-25,97.0,8,solar,0.0539
345,57,2011-02-25,97.0,9,solar,0.1246
346,58,2011-02-25,97.0,10,solar,0.1788
347,59,2011-02-25,97.0,11,solar,0.1951
348,60,2011-02-25,97.0,12,solar,0.1849
349,61,2011-02-25,97.0,13,solar,0.1431
350,62,2011-02-25,97.0,14,solar,0.0967
351,63,2011-02-25,97.0,15,solar,0.0506
352,64,2011-02-25,97.0,16,solar,0.0138
