Company,Name,Fuel,Capacity,Start_date
Lark,Ketton Solar Phase 2,Solar,3.10,2015.00
Lark,Langford Solar Farm,Solar,13.20,2015.00
Lark,Langley Priory Solar Farm,Solar,2.00,2015.00
Lark,Limes Farm Wickham Solar,Solar,5.80,2013.00
Lark,Little Irchester ,Solar,4.70,2016.00
Lark,Lodge Farm1,Solar,1.00,2016.00
Lark,Monty's farm,Solar,4.60,2016.00
Lark,Park Lane,Solar,0.90,2016.00
Lark,Pond Farm Solar Farm,Solar,3.60,2014.00
Lark,Sywell,Solar,5.00,2017.00
Lark,Temple Normanton,Solar,4.90,2016.00
Lark,Thornborough Grounds,Solar,5.00,2016.00
Lark,Wellingborough Solar Farm,Solar,8.50,2014.00
Lark,William's Farm,Solar,4.20,2016.00
Lark,Wroxton Solar Farm,Solar,1.80,2014.00
Lark,Nixey Farm - Chalgrove - Solar Farm,Solar,21.30,2015.00
LightsourceBP,Acrefair,Solar,5.00,2015.00
LightsourceBP,Beckton,Solar,0.50,2011.00
LightsourceBP,Benbole,Solar,1.70,2011.00
LightsourceBP,Bentley Estate,Solar,4.80,2015.00
LightsourceBP,Bentley Estate 2,Solar,5.00,2016.00
LightsourceBP,Binsted,Solar,5.00,2016.00
LightsourceBP,Blatchworthy,Solar,1.40,2013.00
LightsourceBP,Bodmin,Solar,5.00,2015.00
LightsourceBP,Bolsovermoor Quarry ,Solar,5.00,2017.00
LightsourceBP,Brook Farm,Solar,8.90,2016.00
LightsourceBP,Brynteg,Solar,14.80,2014.00
LightsourceBP,Burnthouse,Solar,4.80,2015.00
LightsourceBP,Burthy,Solar,13.10,2015.00
LightsourceBP,Bury Lane,Solar,22.20,2014.00
LightsourceBP,Castle Combe,Solar,15.30,2015.00
LightsourceBP,Charity Farm - CfD,Solar,14.40,2016.00
LightsourceBP,Chittering,Solar,5.00,2012.00
LightsourceBP,Church Farm - Slapton,Solar,5.00,2015.00
LightsourceBP,Cleave Farm,Solar,4.60,2013.00
LightsourceBP,Cold Harbour,Solar,5.00,2015.00
LightsourceBP,Crookedstone,Solar,4.80,2016.00
LightsourceBP,Crossness,Solar,1.50,2011.00
LightsourceBP,Crucis Farm,Solar,16.10,2014.00
LightsourceBP,Crundale,Solar,43.70,2014.00
LightsourceBP,Cwrt Henllys,Solar,5.00,2016.00
LightsourceBP,Dunsfold,Solar,2.00,2011.00
LightsourceBP,Eastacombe,Solar,3.60,2012.00
LightsourceBP,Epwell,Solar,9.00,2014.00
LightsourceBP,Exning,Solar,30.30,2015.00
