,accepted_price,segment_demand,segment_hour,year
7,55.73378392192286,28935.0,5527.92,2018
8,55.81684403891899,29865.0,5067.25,2018
9,56.36560788097122,30721.0,4606.58,2018
10,56.947717872556,31567.0,4146.0,2018
11,57.48018616030504,32315.0,3685.33,2018
12,57.48018616030504,33188.0,3224.67,2018
13,57.724967848134845,34182.0,2764.0,2018
14,58.57192503481389,35505.0,2303.33,2018
15,59.13060632482404,37480.0,1842.67,2018
16,60.40793735378289,39585.0,1382.08,2018
17,61.747908018456336,42206.0,921.42,2018
18,69.72360418254802,45209.0,460.75,2018
19,87.03650085174226,52152.0,0.08,2018
0,40.68705183127499,17568.0,8752.5,2018
1,49.020796260935334,21964.0,8291.83,2018
2,49.946282689119585,23127.0,7831.17,2018
3,51.07565863430782,24327.0,7370.5,2018
4,51.76553844055427,25520.0,6909.92,2018
5,53.15429856909473,26760.0,6449.25,2018
6,53.908350575332406,27888.0,5988.58,2018
7,55.054510120421966,28935.0,5527.92,2018
8,57.849787778705114,29865.0,5067.25,2018
9,58.061767602805965,30721.0,4606.58,2018
10,58.33243059906326,31567.0,4146.0,2018
11,58.47198192265981,32315.0,3685.33,2018
12,58.87822887801719,33188.0,3224.67,2018
13,59.27657332306525,34182.0,2764.0,2018
14,59.328690095214434,35505.0,2303.33,2018
15,61.116551123161976,37480.0,1842.67,2018
16,62.500760159839444,39585.0,1382.08,2018
17,68.22764391235977,42206.0,921.42,2018
18,71.73386708329852,45209.0,460.75,2018
19,98.02192549309797,52152.0,0.08,2018
0,35.46476852692005,17568.0,8752.5,2018
1,49.31961713874116,21964.0,8291.83,2018
2,49.35390642108612,23127.0,7831.17,2018
3,49.619880613527386,24327.0,7370.5,2018
4,50.53351242479215,25520.0,6909.92,2018
5,51.68421641178364,26760.0,6449.25,2018
6,51.725399401935455,27888.0,5988.58,2018
7,52.827078605848946,28935.0,5527.92,2018
8,52.94549593962332,29865.0,5067.25,2018
9,53.26041803749217,30721.0,4606.58,2018
10,54.51704392866048,31567.0,4146.0,2018
11,55.10949182207953,32315.0,3685.33,2018
12,57.22144818872733,33188.0,3224.67,2018
13,57.5915577173251,34182.0,2764.0,2018
14,58.85496242115201,35505.0,2303.33,2018
15,61.37787410559525,37480.0,1842.67,2018
16,64.49074404011917,39585.0,1382.08,2018
17,68.56395127240545,42206.0,921.42,2018
18,71.0250248528522,45209.0,460.75,2018
19,87.0530363921552,52152.0,0.08,2018
0,40.10930831780765,17568.0,8752.5,2018
1,48.58066870330788,21964.0,8291.83,2018
2,49.481317804750795,23127.0,7831.17,2018
3,51.218007826182216,24327.0,7370.5,2018
4,52.263753251799635,25520.0,6909.92,2018
5,52.58140618586613,26760.0,6449.25,2018
6,52.70974849171986,27888.0,5988.58,2018
7,53.88720411488814,28935.0,5527.92,2018
8,54.75231934497874,29865.0,5067.25,2018
9,55.43998111445619,30721.0,4606.58,2018
10,56.52269397413504,31567.0,4146.0,2018
11,56.53859415793903,32315.0,3685.33,2018
12,56.6099487172473,33188.0,3224.67,2018
13,58.84641813464879,34182.0,2764.0,2018
14,60.28599210221514,35505.0,2303.33,2018
15,61.516287797998814,37480.0,1842.67,2018
16,62.88909903374838,39585.0,1382.08,2018
17,68.09727997343158,42206.0,921.42,2018
18,71.35253425620036,45209.0,460.75,2018
19,86.99881387126666,52152.0,0.08,2018
0,41.942144771587344,17568.0,8752.5,2018
1,46.63791171877322,21964.0,8291.83,2018
2,49.000124567773916,23127.0,7831.17,2018
3,49.17348737590094,24327.0,7370.5,2018
4,49.55789905085809,25520.0,6909.92,2018
5,51.195547077220596,26760.0,6449.25,2018
6,53.336313327224225,27888.0,5988.58,2018
7,54.426589378692505,28935.0,5527.92,2018
8,54.73510315155399,29865.0,5067.25,2018
9,55.16697477687045,30721.0,4606.58,2018
10,55.16697477687045,31567.0,4146.0,2018
11,55.30101595571174,32315.0,3685.33,2018
12,56.839139273835464,33188.0,3224.67,2018
13,57.57715055184047,34182.0,2764.0,2018
14,58.035461975352185,35505.0,2303.33,2018
15,59.04119968408185,37480.0,1842.67,2018
16,64.78215610368308,39585.0,1382.08,2018
17,67.33967689199942,42206.0,921.42,2018
18,75.10022709850944,45209.0,460.75,2018
19,93.56451004237698,52152.0,0.08,2018
0,41.61022453333764,17568.0,8752.5,2018
1,45.6915550671633,21964.0,8291.83,2018
2,48.4914070788424,23127.0,7831.17,2018
3,50.712837192037846,24327.0,7370.5,2018
4,51.02765300164546,25520.0,6909.92,2018
5,51.58706010776912,26760.0,6449.25,2018
6,52.46731303397676,27888.0,5988.58,2018
7,53.46714549021147,28935.0,5527.92,2018
8,56.67558863365024,29865.0,5067.25,2018
9,56.79753152284136,30721.0,4606.58,2018
