£/MW/yr,Medium 114000,,
Variable O+M,,,
£/MWh,Medium 1,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,,Tidal range,
,,Commissioning,
,,2025,
Pre-development,High,,
£/kW,Medium,Included in construction costs,
,Low,,
Construction costs,High,3800,
£/kW,Medium,3000,
,Low,2200,
Fixed O+M,,,
£/MW/yr,Medium,38000,
Variable O+M,,,
£/MWh,Medium,Included in fixed O+M,
Insurance,,,
£/MW/yr,Medium,Included in fixed O+M,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,Included in fixed O+M,
,Hydropower 5-16MW,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium 50 50 50,,
,Low,,
Construction costs,High,,
£/kW,Medium 3100 3100 3300,,
,Low,,
Fixed O+M,,,
£/MW/yr,Medium 43500 43600 43700,,
Variable O+M,,,
£/MWh,Medium 10 11 12,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,Hydro Large Storage,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium 55 55 55,,
,Low,,
Construction costs,High,,
£/kW,Medium 3400 3400 3600,,
,Low,,
Fixed O+M,,,
£/MW/yr,Medium 24800 24800 24900,,
Variable O+M,,,
£/MWh,Medium 6 7 8,,
Insurance,,,
£/MW/yr,Medium 900 900 900,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 7300 7300 7400,,
,Sewage Gas,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 5900 5900 5800,,
£/kW,Medium 3600 3600 3500,,
,Low 2300 2300 2200,,
Fixed O+M,,,
£/MW/yr,Medium 101000 101000 101000,,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 8700 8700 8700,,
,,Landfill,
,,Commissioning,
,,2016 2017 2020,
Pre-development,High,210 210 210,
£/kW,Medium,130 130 130,
,Low,30 30 30,
Construction costs,High,3400 3400 3300,
£/kW,Medium,2000 2000 2000,
,Low,1000 1000 1000,
Fixed O+M,,,
£/MW/yr,Medium,59600 59600 59700,
Variable O+M,,,
£/MWh,Medium,10 11 12,
Insurance,,,
£/MW/yr,Medium,1300 1300 1300,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,5100 5100 5100,
,Energy from Waste,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 5200 5200 5100,,
£/kW,Medium 4900 4900 4800,,
,Low 4500 4500 4500,,
Fixed O+M,,,
£/MW/yr,Medium 222000 222000 222000,,
Variable O+M,,,
£/MWh,Medium 25 25 25,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,Energy from Waste CHP,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 6900 6900 6800,,
£/kW,Medium 6200 6200 6100,,
,Low 5500 5500 5400,,
Fixed O+M,,,
£/MW/yr,Medium 269000 269200 269600,,
Variable O+M,,,
£/MWh,Medium 30 30 30,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,Geothermal,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 300 300 300,,
£/kW,Medium 140 140 140,,
,Low 50 50 50,,
Construction costs,High 6700 6300 5900,,
£/kW,Medium 4600 4400 4100,,
,Low 2300 2200 2000,,
Fixed O+M,,,
£/MW/yr,Medium 35800 35800 35800,,
Variable O+M,,,
£/MWh,Medium 10 10 10,,
Insurance,,,
£/MW/yr,Medium 71500 71500 71700,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 2000 2000 2000,,
,Geothermal CHP,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 240 240 240,,
£/kW,Medium 140 140 140,,
,Low 50 50 50,,
Construction costs,High 7300 6800 6400,,
£/kW,Medium 5100 4800 4500,,
,Low 2600 2500 2300,,
Fixed O+M,,,
£/MW/yr,Medium 34200 34200 34200,,
Variable O+M,,,
£/MWh,Medium 10 11 12,,
Insurance,,,
£/MW/yr,Medium 77100 77100 77200,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 1900 1900 1900,,
,Biomass CHP,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 5000 5000 4900,,
£/kW,Medium 3900 3800 3800,,
,Low 2700 2700 2700,,
Fixed O+M,,,
£/MW/yr,Medium 149900 149100 146700,,
Variable O+M,,,
£/MWh,Medium 10 11 12,,
Insurance,,,
£/MW/yr,Medium 25400 25300 24900,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 1400 1400 1400,,
,,AD,
,,Commissioning,
,,2016,2017 2020
Pre-development,High,580,580 580
£/kW,Medium,180,180 180
,Low,50,50 50
Construction costs,High,7200,7200 7000
£/kW,Medium,4000,3900 3900
,Low,1700,1700 1700
Fixed O+M,,,
£/MW/yr,Medium,301000,301000 301000
Variable O+M,,,
£/MWh,Medium,30,30 30
Insurance,,,
£/MW/yr,Medium,58000,58100 58200
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,8700,8700 8700
,,AD CHP,
,,Commissioning,
,,2016 2017 2020,
Pre-development,High,,
£/kW,Medium,Included in construction costs,
,Low,,
Construction costs,High,7200 7200 7000,
£/kW,Medium,4200 4200 4100,
,Low,1800 1800 1800,
Fixed O+M,,,
£/MW/yr,Medium,364000 364000 365000,
Variable O+M,,,
£/MWh,Medium,20 20 20,
Insurance,,,
£/MW/yr,Medium,58000 58100 58200,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,8700 8700 8700,
,,ACT CHP,
,,Commissioning,
,,2016 2017 2020,
Pre-development,High,90 90 90,
£/kW,Medium,90 90 90,
,Low,90 90 90,
Construction costs,High,10600 10500 10300,
£/kW,Medium,5900 5800 5700,
,Low,1000 1000 900,
Fixed O+M,,,
£/MW/yr,Medium,425800 421800 410000,
Variable O+M,,,
£/MWh,Medium,10 11 12,
Insurance,,,
£/MW/yr,Medium,21900 21700 21100,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,5600 5500 5400,
,Large scale solar PV,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 1100 1100 900,,
£/kW,Medium 1000 1000 900,,
,Low 900 900 800,,
Fixed O+M,,,
£/MW/yr,Medium 22600 22400 21900,,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,,Solar <4kW,
,,Commissioning,
,,2016 2017,2020
Pre-development,High,,
£/kW,Medium,Included in construction costs,
,Low,,
Construction costs,High,2500 2400,2100
£/kW,Medium,1900 1800,1600
,Low,1500 1400,1300
Fixed O+M,,,
£/MW/yr,Medium,23700 23600,23500
Variable O+M,,,
£/MWh,Medium,Included in fixed O+M,
Insurance,,,
£/MW/yr,Medium,Included in fixed O+M,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,Included in fixed O+M,
,Onshore <15kW,,
,Commissioning,,
,2016 2017,2020,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 6100 6100,6100,
£/kW,Medium 5500 5500,5500,
,Low 5000 5000,5000,
Fixed O+M,,,
£/MW/yr,Medium 73000 73000,73000,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,Onshore 1MW<5MW,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 2300 2300 2300,,
£/kW,Medium 2000 2000 2000,,
,Low 1600 1600 1600,,
Fixed O+M,,,
£/MW/yr,Medium 29600 29400 29000,,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,AD < 250kW,,
,Commissioning,,
,2016 2017,2020,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 8000 8000,8000,
£/kW,Medium 6000 6000,6000,
,Low 4000 4000,4000,
Fixed O+M,,,
£/MW/yr,Medium 924000 924000,924000,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,AD > 500kW,,
,Commissioning,,
,2016 2017,2020,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 6000 6000,6000,
£/kW,Medium 4500 4500,4500,
,Low 3000 3000,3000,
Fixed O+M,,,
£/MW/yr,Medium 714800 714800,714800,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
Hydropower 100kW-1000kW,,,
Commissioning,,,
2016 2017 2020,,,
Pre-development High,,,
£/kW Medium Included in construction costs,,,
Low,,,
Construction costs High 10000 10000 10000,,,
£/kW Medium 4500 4500 4500,,,
Low 2000 2000 2000,,,
Fixed O+M,,,
£/MW/yr Medium 104000 104000 104000,,,
Variable O+M,,,
£/MWh Medium Included in fixed O+M,,,
Insurance,,,
£/MW/yr Medium Included in fixed O+M,,,
Connection and Use,,,
of System charges,,,
£/MW/yr Medium Included in fixed O+M,,,
Hydropower <15kW,,,
Commissioning,,,
2016 2017,2020,,
Pre-development High,,,
£/kW Medium Included in construction costs,,,
Low,,,
Construction costs High 21400 21400,21400,,
£/kW Medium 9500 9500,9500,,
Low 4200 4200,4200,,
Fixed O+M,,,
£/MW/yr Medium 110000 110000,110000,,
Variable O+M,,,
£/MWh Medium Included in fixed O+M,,,
Insurance,,,
£/MW/yr Medium Included in fixed O+M,,,
Connection and Use,,,
of System charges,,,
£/MW/yr Medium Included in fixed O+M,,,
