,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
Hydropower <100kW ,0.03,0.60,1.00,35 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,7800.00,7800.00,7800.00,4800.00,4800.00,4800.00,6300.00,6300.00,6300.00,83300.00,83300.00,83300.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Hydropower 500-2000kW ,1.05,0.40,1.00,35 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,4100.00,4100.00,4100.00,2500.00,2500.00,2500.00,3300.00,3300.00,3300.00,18200.00,18200.00,18200.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Landfill gas ,2.00,0.58,1.00,27.8571428571429 years ,1.00,,,,,,,,0 years ,1.00,,,,,,,,1 years ,6500.00,6500.00,6500.00,3600.00,3600.00,3600.00,800.00,800.00,800.00,2200.00,2200.00,2200.00,81000.00,81000.00,81000.00,1000.00,1000.00,1000.00,500.00,500.00,500.00,700.00,700.00,700.00,1600.00,1600.00,1600.00,60.00,60.00,60.00,20.00,20.00,20.00,40.00,40.00,40.00,9.00,9.00,9.00
Nuclear - PWR FOAK ,3300.00,0.90,1.00,60 years ,0.05,0.05,0.20,0.20,0.20,0.20,0.05,0.05,8 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,500.00,- ,- ,5100.00,- ,- ,3700.00,- ,- ,4100.00,- ,- ,72900.00,- ,- ,50000.00,- ,- ,- ,- ,- ,11500.00,- ,- ,10000.00,- ,- ,640.00,- ,- ,110.00,- ,- ,240.00,- ,- ,5.00
OCGT 100MW 2000 hr ,96.00,0.22,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2500.00,2500.00,2500.00,800.00,800.00,800.00,600.00,600.00,600.00,600.00,600.00,600.00,14800.00,14800.00,14800.00,25100.00,25100.00,25100.00,6300.00,6300.00,6300.00,12600.00,12600.00,12600.00,2500.00,2500.00,2500.00,90.00,90.00,90.00,70.00,70.00,70.00,80.00,80.00,80.00,4.00,4.00,4.00
OCGT 100MW 500 hr ,96.00,0.06,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2400.00,2400.00,2400.00,800.00,800.00,800.00,600.00,600.00,600.00,600.00,600.00,600.00,9900.00,9900.00,9900.00,25100.00,25100.00,25100.00,6300.00,6300.00,6300.00,12600.00,12600.00,12600.00,2500.00,2500.00,2500.00,90.00,90.00,90.00,70.00,70.00,70.00,80.00,80.00,80.00,4.00,4.00,4.00
OCGT 299MW 2000 hr ,299.00,0.22,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2500.00,2500.00,2500.00,600.00,700.00,700.00,300.00,300.00,300.00,400.00,400.00,400.00,9600.00,9600.00,9600.00,27100.00,27100.00,27100.00,6800.00,6800.00,6800.00,13600.00,13600.00,13600.00,1600.00,1600.00,1600.00,40.00,40.00,40.00,30.00,30.00,30.00,30.00,30.00,30.00,3.00,3.00,3.00
OCGT 299MW 500 hr ,299.00,0.06,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2400.00,2400.00,2400.00,600.00,700.00,700.00,300.00,300.00,300.00,400.00,400.00,400.00,6400.00,6400.00,6400.00,27100.00,27100.00,27100.00,6800.00,6800.00,6800.00,13600.00,13600.00,13600.00,1600.00,1600.00,1600.00,40.00,40.00,40.00,30.00,30.00,30.00,30.00,30.00,30.00,3.00,3.00,3.00
OCGT 300MW 2000 hr ,311.00,0.22,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2500.00,2500.00,2500.00,600.00,700.00,700.00,300.00,300.00,300.00,400.00,400.00,400.00,9500.00,9500.00,9500.00,27100.00,27100.00,27100.00,6800.00,6800.00,6800.00,13600.00,13600.00,13600.00,1600.00,1600.00,1600.00,40.00,40.00,40.00,30.00,30.00,30.00,30.00,30.00,30.00,3.00,3.00,3.00
OCGT 300MW 500 hr ,311.00,0.06,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2400.00,2400.00,2400.00,600.00,700.00,700.00,300.00,300.00,300.00,400.00,400.00,400.00,6300.00,6300.00,6300.00,27100.00,27100.00,27100.00,6800.00,6800.00,6800.00,13600.00,13600.00,13600.00,1600.00,1600.00,1600.00,40.00,40.00,40.00,30.00,30.00,30.00,30.00,30.00,30.00,3.00,3.00,3.00
